epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,14657.7,0.69553,0.40945,0.84337,0.64365,0.68276,0.70566,0.43586,1.42514,1.02098,1.20471,0.000184572,0.000184572,0.000184572
163,14744.8,0.66152,0.39002,0.8387,0.66311,0.66036,0.70417,0.42583,1.44597,1.03054,1.21568,0.000180073,0.000180073,0.000180073
164,14831.9,0.64439,0.39084,0.83774,0.67187,0.64951,0.70064,0.42732,1.45326,1.05985,1.21861,0.000175573,0.000175573,0.000175573
165,14922.1,0.67631,0.39993,0.85345,0.72423,0.59041,0.69292,0.42306,1.44552,1.03557,1.20919,0.000171074,0.000171074,0.000171074
166,15009.2,0.63915,0.38502,0.83884,0.6831,0.58222,0.67889,0.41688,1.4388,1.01847,1.20556,0.000166574,0.000166574,0.000166574
167,15096.1,0.6629,0.39595,0.84054,0.68177,0.59987,0.68455,0.43016,1.42844,0.9911,1.19715,0.000162075,0.000162075,0.000162075
168,15183.2,0.63222,0.38183,0.84067,0.64329,0.6264,0.6789,0.43325,1.42949,0.98856,1.19794,0.000157575,0.000157575,0.000157575
169,15270.4,0.65118,0.38233,0.8358,0.60042,0.61153,0.67501,0.43022,1.42804,0.9789,1.20209,0.000153076,0.000153076,0.000153076
170,15357.3,0.6541,0.38553,0.84245,0.62878,0.61854,0.6673,0.42267,1.42788,0.96351,1.2056,0.000148576,0.000148576,0.000148576
171,15444.4,0.6548,0.39024,0.8376,0.69461,0.58705,0.6719,0.42782,1.43823,0.97761,1.21183,0.000144077,0.000144077,0.000144077
172,15531.8,0.63165,0.37932,0.83563,0.68897,0.58696,0.66963,0.42168,1.43873,0.99969,1.20974,0.000139577,0.000139577,0.000139577
173,15618.8,0.64121,0.38166,0.84102,0.72009,0.58698,0.67598,0.42471,1.42737,0.99124,1.20406,0.000135077,0.000135077,0.000135077
174,15705.7,0.61285,0.37479,0.8364,0.71694,0.58386,0.6731,0.42585,1.41027,0.98358,1.19456,0.000130578,0.000130578,0.000130578
175,15792.4,0.61895,0.37587,0.83197,0.63786,0.60453,0.68496,0.43205,1.3993,0.9688,1.19057,0.000126078,0.000126078,0.000126078
176,15879.4,0.63217,0.38186,0.83339,0.66555,0.5734,0.68241,0.42349,1.39317,0.94994,1.18653,0.000121579,0.000121579,0.000121579
177,15966.5,0.61692,0.37125,0.83942,0.67949,0.57531,0.68892,0.4264,1.39317,0.95152,1.18756,0.000117079,0.000117079,0.000117079
178,16053.7,0.61341,0.37202,0.83899,0.70935,0.57893,0.69755,0.4381,1.38984,0.95584,1.18975,0.00011258,0.00011258,0.00011258
179,16140.5,0.63508,0.37862,0.84138,0.70629,0.56053,0.69551,0.44203,1.38808,0.96176,1.19193,0.00010808,0.00010808,0.00010808
180,16227.4,0.61155,0.36915,0.8351,0.69483,0.56089,0.69184,0.43451,1.38966,0.96848,1.19319,0.000103581,0.000103581,0.000103581
